"hgnc_symbol","uniprotswissprot","go_id","name_1006","definition_1006"
"CGA","P01215","GO:0007186","G-protein coupled receptor signaling pathway","A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576). [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]"
"FSHB","P01225","GO:0008284","positive regulation of cell proliferation","Any process that activates or increases the rate or extent of cell proliferation. [GOC:go_curators]"
"FSHB","P01225","GO:0045944","positive regulation of transcription from RNA polymerase II promoter","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"
"FSHB","P01225","GO:0030335","positive regulation of cell migration","Any process that activates or increases the frequency, rate or extent of cell migration. [GOC:go_curators]"
"FSHB","P01225","GO:0007179","transforming growth factor beta receptor signaling pathway","A series of molecular signals initiated by the binding of an extracellular ligand to a transforming growth factor beta receptor on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:BHF, GOC:mah, GOC:signaling]"
"FSHB","P01225","GO:0005737","cytoplasm","All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]"
"FSHB","P01225","GO:0005576","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite. [GOC:go_curators]"
"FSHB","P01225","GO:0005515","protein binding","Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]"
"FSHB","P01225","GO:0005179","hormone activity","The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process. [GOC:dph, GOC:mah, ISBN:0198506732]"
"FSHB","P01225","GO:0005615","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid. [ISBN:0198547684]"
"FSHB","P01225","GO:0070062","extracellular exosome","A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm. [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"
"FSHB","P01225","GO:0007267","cell-cell signaling","Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell.  Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions. [GOC:dos, GOC:mah]"
"FSHB","P01225","GO:0009755","hormone-mediated signaling pathway","A series of molecular signals mediated by the detection of a hormone. [GOC:sm]"
"FSHB","P01225","GO:0007165","signal transduction","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell. [GOC:go_curators, GOC:mtg_signaling_feb11]"
"FSHB","P01225","GO:0007292","female gamete generation","Generation of the female gamete; specialised haploid cells produced by meiosis and along with a male gamete takes part in sexual reproduction. [GOC:dph, ISBN:0198506732]"
"FSHB","P01225","GO:0016486","peptide hormone processing","The generation of a mature peptide hormone by posttranslational processing of a prohormone. [GOC:mah]"
"FSHB","P01225","GO:0016913","follicle-stimulating hormone activity","The action characteristic of follicle-stimulating hormone (FSH), a gonadotrophic glycoprotein hormone secreted, in mammals, by the anterior pituitary gland. Upon receptor binding, FSH stimulates growth of Graafian follicles in the ovaries in females, and stimulates the epithelium of the seminiferous tubules to increase spermatogenesis. [ISBN:0198547684]"
"FSHB","P01225","GO:0006701","progesterone biosynthetic process","The chemical reactions and pathways resulting in the formation of progesterone, a steroid hormone produced in the ovary which prepares and maintains the uterus for pregnancy. Also found in plants. [GOC:jl, http://www.cogsci.princeton.edu/]"
"FSHB","P01225","GO:0007565","female pregnancy","The set of physiological processes that allow an embryo or foetus to develop within the body of a female animal. It covers the time from fertilization of a female ovum by a male spermatozoon until birth. [ISBN:0192800825]"
"FSHB","P01225","GO:0042699","follicle-stimulating hormone signaling pathway","The series of molecular signals mediated by follicle-stimulating hormone. [GOC:dph]"
"FSHB","P01225","GO:0010469","regulation of receptor activity","Any process that modulates the frequency, rate or extent of receptor activity. Receptor activity is when a molecule combines with an extracellular or intracellular messenger to initiate a change in cell activity. [GOC:dph, GOC:tb]"
"FSHB","P01225","GO:0007186","G-protein coupled receptor signaling pathway","A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576). [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]"
"FSHB","P01225","GO:0001541","ovarian follicle development","The process whose specific outcome is the progression of the ovarian follicle over time, from its formation to the mature structure. [GOC:go_curators]"
"FSHB","P01225","GO:0010628","positive regulation of gene expression","Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form. [GOC:dph, GOC:tb]"
"FSHB","P01225","GO:0045670","regulation of osteoclast differentiation","Any process that modulates the frequency, rate or extent of osteoclast differentiation. [GOC:go_curators]"
"FSHB","P01225","GO:0045780","positive regulation of bone resorption","Any process that activates or increases the frequency, rate or extent of bone resorption. [GOC:go_curators]"
"FSHB","P01225","GO:0060011","Sertoli cell proliferation","The multiplication or reproduction of Sertoli cells, resulting in the expansion of the Sertoli cell population. A Sertoli cell is a supporting cell projecting inward from the basement membrane of seminiferous tubules. [GOC:dph]"
"LHB","P01229","GO:0005576","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite. [GOC:go_curators]"
"LHB","P01229","GO:0005179","hormone activity","The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process. [GOC:dph, GOC:mah, ISBN:0198506732]"
"LHB","P01229","GO:0005615","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid. [ISBN:0198547684]"
"LHB","P01229","GO:0005737","cytoplasm","All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]"
"LHB","P01229","GO:0007186","G-protein coupled receptor signaling pathway","A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576). [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]"
"LHB","P01229","GO:0070062","extracellular exosome","A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm. [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"
"LHB","P01229","GO:0009755","hormone-mediated signaling pathway","A series of molecular signals mediated by the detection of a hormone. [GOC:sm]"
"LHB","P01229","GO:0030728","ovulation","The release of a mature ovum/oocyte from an ovary. [GOC:bf, ISBN:0878932437]"
"LHB","P01229","GO:0007165","signal transduction","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell. [GOC:go_curators, GOC:mtg_signaling_feb11]"
"LHB","P01229","GO:0007267","cell-cell signaling","Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell.  Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions. [GOC:dos, GOC:mah]"
"LHB","P01229","GO:0005102","receptor binding","Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:bf, GOC:ceb, ISBN:0198506732]"
"LHB","P01229","GO:0005796","Golgi lumen","The volume enclosed by the membranes of any cisterna or subcompartment of the Golgi apparatus, including the cis- and trans-Golgi networks. [GOC:mah]"
"LHB","P01229","GO:0008584","male gonad development","The process whose specific outcome is the progression of the male gonad over time, from its formation to the mature structure. [GOC:jid]"
"LHB","P01229","GO:0016486","peptide hormone processing","The generation of a mature peptide hormone by posttranslational processing of a prohormone. [GOC:mah]"
"LHB","P01229","GO:0006701","progesterone biosynthetic process","The chemical reactions and pathways resulting in the formation of progesterone, a steroid hormone produced in the ovary which prepares and maintains the uterus for pregnancy. Also found in plants. [GOC:jl, http://www.cogsci.princeton.edu/]"
"LHB","P01229","GO:0010469","regulation of receptor activity","Any process that modulates the frequency, rate or extent of receptor activity. Receptor activity is when a molecule combines with an extracellular or intracellular messenger to initiate a change in cell activity. [GOC:dph, GOC:tb]"
"TG","P01266","GO:0005576","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite. [GOC:go_curators]"
"TG","P01266","GO:0005179","hormone activity","The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process. [GOC:dph, GOC:mah, ISBN:0198506732]"
"TG","P01266","GO:0042446","hormone biosynthetic process","The chemical reactions and pathways resulting in the formation of any hormone, naturally occurring substances secreted by specialized cells that affects the metabolism or behavior of other cells possessing functional receptors for the hormone. [CHEBI:24621, GOC:jl]"
"TG","P01266","GO:0007165","signal transduction","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell. [GOC:go_curators, GOC:mtg_signaling_feb11]"
"TG","P01266","GO:0030878","thyroid gland development","The process whose specific outcome is the progression of the thyroid gland over time, from its formation to the mature structure. The thyroid gland is an endoderm-derived gland that produces thyroid hormone. [GOC:dgh]"
"TG","P01266","GO:0010469","regulation of receptor activity","Any process that modulates the frequency, rate or extent of receptor activity. Receptor activity is when a molecule combines with an extracellular or intracellular messenger to initiate a change in cell activity. [GOC:dph, GOC:tb]"
"TG","P01266","GO:0015705","iodide transport","The directed movement of iodide into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:krc]"
"TG","P01266","GO:0031641","regulation of myelination","Any process that modulates the frequency, rate or extent of the formation of a myelin sheath around nerve axons. [GOC:mah]"
"TG","P01266","GO:0042403","thyroid hormone metabolic process","The chemical reactions and pathways involving any of the compounds secreted by the thyroid gland, largely thyroxine and triiodothyronine. [GOC:jl, ISBN:0198506732]"
"TG","P01266","GO:0005615","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid. [ISBN:0198547684]"
"LTA","P01374","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"
"LTA","P01374","GO:0005576","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite. [GOC:go_curators]"
"LTA","P01374","GO:0006955","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat. [GO_REF:0000022, GOC:add, GOC:mtg_15nov05]"
"LTA","P01374","GO:0005125","cytokine activity","Functions to control the survival, growth, differentiation and effector function of tissues and cells. [ISBN:0198599471]"
"LTA","P01374","GO:0005615","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid. [ISBN:0198547684]"
"LTA","P01374","GO:0005164","tumor necrosis factor receptor binding","Interacting selectively and non-covalently with the tumor necrosis factor receptor. [GOC:ai]"
"LTA","P01374","GO:0005886","plasma membrane","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins. [ISBN:0716731363]"
"LTA","P01374","GO:0033209","tumor necrosis factor-mediated signaling pathway","A series of molecular signals initiated by the binding of a tumor necrosis factor to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:mah, GOC:signaling]"
"LTA","P01374","GO:0007165","signal transduction","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell. [GOC:go_curators, GOC:mtg_signaling_feb11]"
"LTA","P01374","GO:0007267","cell-cell signaling","Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell.  Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions. [GOC:dos, GOC:mah]"
"LTA","P01374","GO:0006915","apoptotic process","A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died. [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]"
"LTA","P01374","GO:0005102","receptor binding","Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:bf, GOC:ceb, ISBN:0198506732]"
"LTA","P01374","GO:0010469","regulation of receptor activity","Any process that modulates the frequency, rate or extent of receptor activity. Receptor activity is when a molecule combines with an extracellular or intracellular messenger to initiate a change in cell activity. [GOC:dph, GOC:tb]"
"LTA","P01374","GO:0001666","response to hypoxia","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level. [GOC:hjd]"
"LTA","P01374","GO:0002876","positive regulation of chronic inflammatory response to antigenic stimulus","Any process that activates or increases the frequency, rate, or extent of a chronic inflammatory response to an antigenic stimulus. [GOC:add]"
"LTA","P01374","GO:0002925","positive regulation of humoral immune response mediated by circulating immunoglobulin","Any process that activates or increases the frequency, rate, or extent of a humoral immune response mediated by circulating immunoglobulin. [GOC:add]"
"LTA","P01374","GO:0006959","humoral immune response","An immune response mediated through a body fluid. [GOC:hb, ISBN:0198506732]"
"LTA","P01374","GO:0007584","response to nutrient","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nutrient stimulus. [GOC:go_curators]"
"LTA","P01374","GO:0032496","response to lipopolysaccharide","Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria. [GOC:add, ISBN:0721601464]"
"LTA","P01374","GO:0032729","positive regulation of interferon-gamma production","Any process that activates or increases the frequency, rate, or extent of interferon-gamma production. Interferon-gamma is also known as type II interferon. [GOC:add, GOC:mah]"
"LTA","P01374","GO:0042493","response to drug","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a drug stimulus. A drug is a substance used in the diagnosis, treatment or prevention of a disease. [GOC:jl]"
"LTA","P01374","GO:0043065","positive regulation of apoptotic process","Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process. [GOC:jl, GOC:mtg_apoptosis]"
"LTA","P01374","GO:0044130","negative regulation of growth of symbiont in host","Any process in which the symbiont stops, prevents or reduces its increase in size or mass within the cells or tissues of the host organism. The host is defined as the larger of the organisms involved in the symbiotic interaction. [GOC:jl, GOC:pamgo_curators]"
"LTA","P01374","GO:0048147","negative regulation of fibroblast proliferation","Any process that stops, prevents, or reduces the frequency, rate or extent of multiplication or reproduction of fibroblast cells. [GOC:jid]"
"LTA","P01374","GO:0048535","lymph node development","The process whose specific outcome is the progression of lymph nodes over time, from their formation to the mature structure. A lymph node is a round, oval, or bean shaped structure localized in clusters along the lymphatic vessels, with a distinct internal structure including specialized vasculature and B- and T-zones for the activation of lymphocytes. [GOC:add, ISBN:068340007X, ISBN:0781735149]"
"LTA","P01374","GO:0050830","defense response to Gram-positive bacterium","Reactions triggered in response to the presence of a Gram-positive bacterium that act to protect the cell or organism. [GOC:ai]"
"LTA","P01374","GO:0060252","positive regulation of glial cell proliferation","Any process that activates or increases the rate or extent of glial cell proliferation. [GOC:dph, GOC:sl, GOC:tb]"
"TNF","P01375","GO:0005615","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid. [ISBN:0198547684]"
"TNF","P01375","GO:0010628","positive regulation of gene expression","Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form. [GOC:dph, GOC:tb]"
"TNF","P01375","GO:0045599","negative regulation of fat cell differentiation","Any process that stops, prevents, or reduces the frequency, rate or extent of adipocyte differentiation. [GOC:go_curators]"
"TNF","P01375","GO:0010629","negative regulation of gene expression","Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form. [GOC:dph, GOC:tb]"
"TNF","P01375","GO:0051091","positive regulation of sequence-specific DNA binding transcription factor activity","Any process that activates or increases the frequency, rate or extent of activity of a transcription factor, any factor involved in the initiation or regulation of transcription. [GOC:ai]"
"TNF","P01375","GO:0070374","positive regulation of ERK1 and ERK2 cascade","Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade. [GOC:mah]"
"TNF","P01375","GO:0045944","positive regulation of transcription from RNA polymerase II promoter","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"
"TNF","P01375","GO:0001934","positive regulation of protein phosphorylation","Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein. [GOC:hjd]"
"TNF","P01375","GO:1904996","positive regulation of leukocyte adhesion to vascular endothelial cell","Any process that activates or increases the frequency, rate or extent of leukocyte adhesion to vascular endothelial cell. [GO_REF:0000058, GOC:bc, GOC:BHF, GOC:BHF_miRNA, GOC:TermGenie, PMID:23897866]"
"TNF","P01375","GO:1904999","positive regulation of leukocyte adhesion to arterial endothelial cell","Any process that activates or increases the frequency, rate or extent of leukocyte adhesion to arterial endothelial cell. [GO_REF:0000058, GOC:bc, GOC:BHF, GOC:BHF_miRNA, GOC:TermGenie, PMID:22267480]"
"TNF","P01375","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"
"TNF","P01375","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators]"
"TNF","P01375","GO:0005886","plasma membrane","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins. [ISBN:0716731363]"
"TNF","P01375","GO:0005515","protein binding","Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]"
"TNF","P01375","GO:0005576","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite. [GOC:go_curators]"
"TNF","P01375","GO:0006955","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat. [GO_REF:0000022, GOC:add, GOC:mtg_15nov05]"
"TNF","P01375","GO:0005125","cytokine activity","Functions to control the survival, growth, differentiation and effector function of tissues and cells. [ISBN:0198599471]"
"TNF","P01375","GO:0005164","tumor necrosis factor receptor binding","Interacting selectively and non-covalently with the tumor necrosis factor receptor. [GOC:ai]"
"TNF","P01375","GO:0045893","positive regulation of transcription, DNA-templated","Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription. [GOC:go_curators, GOC:txnOH]"
"TNF","P01375","GO:0006954","inflammatory response","The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages. [GO_REF:0000022, GOC:mtg_15nov05, ISBN:0198506732]"
"TNF","P01375","GO:0042802","identical protein binding","Interacting selectively and non-covalently with an identical protein or proteins. [GOC:jl]"
"TNF","P01375","GO:0000122","negative regulation of transcription from RNA polymerase II promoter","Any process that stops, prevents, or reduces the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"
"TNF","P01375","GO:0033209","tumor necrosis factor-mediated signaling pathway","A series of molecular signals initiated by the binding of a tumor necrosis factor to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:mah, GOC:signaling]"
"TNF","P01375","GO:0043065","positive regulation of apoptotic process","Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process. [GOC:jl, GOC:mtg_apoptosis]"
"TNF","P01375","GO:0009986","cell surface","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]"
"TNF","P01375","GO:0033138","positive regulation of peptidyl-serine phosphorylation","Any process that activates or increases the frequency, rate or extent of the phosphorylation of peptidyl-serine. [GOC:mah]"
"TNF","P01375","GO:0051092","positive regulation of NF-kappaB transcription factor activity","Any process that activates or increases the frequency, rate or extent of activity of the transcription factor NF-kappaB. [GOC:dph, GOC:tb, PMID:15087454, PMID:15170030]"
"TNF","P01375","GO:0000187","activation of MAPK activity","The initiation of the activity of the inactive enzyme MAP kinase (MAPK). [PMID:9561267]"
"TNF","P01375","GO:0007249","I-kappaB kinase/NF-kappaB signaling","The process in which a signal is passed on to downstream components within the cell through the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription. [GOC:bf, GOC:jl, PMID:12773372, Reactome:REACT_13696.1]"
"TNF","P01375","GO:0032715","negative regulation of interleukin-6 production","Any process that stops, prevents, or reduces the frequency, rate, or extent of interleukin-6 production. [GOC:mah]"
"TNF","P01375","GO:0032722","positive regulation of chemokine production","Any process that activates or increases the frequency, rate, or extent of chemokine production. [GOC:mah]"
"TNF","P01375","GO:0042346","positive regulation of NF-kappaB import into nucleus","Any process that activates or increases the frequency, rate or extent of transfer of NF-kappaB, a transcription factor for eukaryotic RNA polymerase II promoters, from the cytoplasm into the nucleus, across the nuclear membrane. [GOC:jl, ISBN:0198506732]"
"TNF","P01375","GO:0009897","external side of plasma membrane","The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface. [GOC:dos, GOC:tb]"
"TNF","P01375","GO:0045785","positive regulation of cell adhesion","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]"
"TNF","P01375","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","A series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with a ligand binding to a death domain receptor on the cell surface, and ends when the execution phase of apoptosis is triggered. [GOC:mah, GOC:mtg_apoptosis]"
"TNF","P01375","GO:0097191","extrinsic apoptotic signaling pathway","A series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with either a ligand binding to a cell surface receptor, or a ligand being withdrawn from a cell surface receptor (e.g. in the case of signaling by dependence receptors), and ends when the execution phase of apoptosis is triggered. [GOC:mtg_apoptosis, GOC:yaf, PMID:17340152]"
